77,108,77,102,62,89,97,62,87,123,83
82,48,52,118,71,108,78,92,82,103,76
87,127,67,128,78,122,83,117,87,183,77
77,87,72,123,92,133,62,118,92,167,99
67,184,61,108,82,93,97,103,87,113,97
72,78,18,87,62,93,72,11,54,112,83
78,97,67,73,52,108,63,10,58,104,88
82,128,68,101,67,83,73,68,87,132,68
72,142,72,43,78,103,81,10,70,139,86
82,68,62,58,68,67,71,54,72,107,77
93,33,86,68,82,93,92,98,98,128,111
93,53,97,7,67,94,82,97,67,83,108
87,22,88,23,81,88,77,94,82,87,108
79,62,81,8,72,94,72,102,77,84,91
92,24,87,28,76,79,86,94,82,83,101
93,53,96,43,57,109,71,95,87,88,117
75,18,77,68,93,98,98,93,87,87,114
112,29,95,33,83,93,82,107,83,88,116
82,23,102,38,102,103,93,87,92,93,107
97,8,82,59,92,87,93,93,86,54,116
