77,108,77,102,62,89,97,62,87,123,83, # 77,108,77,102,62,89,97,62,87,123,83,787,96,188,72,147,63,237,67,brayan
82,48,52,118,71,108,78,92,82,103,76, # 82,48,52,118,71,108,78,92,82,103,76,508,103,142,62,198,62,153,67,brayan
87,127,67,128,78,122,83,117,87,183,77, # 87,127,67,128,78,122,83,117,87,183,77,463,76,198,82,228,82,137,82,brayan
77,87,72,123,92,133,62,118,92,167,99, # 77,87,72,123,92,133,62,118,92,167,99,476,83,217,77,237,72,148,72,brayan
67,184,61,108,82,93,97,103,87,113,97, # 67,184,61,108,82,93,97,103,87,113,97,463,101,139,67,242,72,189,61,brayan
72,78,18,87,62,93,72,11,54,112,83, # 72,78,18,87,62,93,72,11,54,112,83,203,76,123,83,202,62,127,67,brayan
78,97,67,73,52,108,63,10,58,104,88, # 78,97,67,73,52,108,63,10,58,104,88,291,98,117,72,163,57,118,72,brayan
82,128,68,101,67,83,73,68,87,132,68, # 82,128,68,101,67,83,73,68,87,132,68,343,87,142,72,209,62,127,82,brayan
72,142,72,43,78,103,81,10,70,139,86, # 72,142,72,43,78,103,81,10,70,139,86,567,88,108,77,82,62,63,72,brayan
82,68,62,58,68,67,71,54,72,107,77, # 82,68,62,58,68,67,71,54,72,107,77,138,72,119,66,143,66,53,47,brayan
